JURIS NAME	FACILITY NAME	SEGMENT FROM	SEGMENT TO	DIR	WEEKDAY TRAFFIC VOLUMES																		2012 SPEED AND CONGESTION DATA											
					2007			2008			2009			2010			2011			2012			AM PEAK HOUR						PM PEAK HOUR					
CHES	BATTLEFIELD BLVD	GREAT BRIDGE BLVD/KEMPSVILLE RD	GREAT BRIDGE BYPASS					"37,224"	6/17 - 6/18	V													36	41	1.13	1.00	LOW	LOW	37	34	1.11	1.22	LOW	LOW
CHES	BATTLEFIELD BLVD	GREAT BRIDGE BYPASS	VOLVO PKWY					"44,686"	6/17 - 6/18	V							"45,616"	5/25 - 5/26	V				37	38	1.13	1.13	LOW	LOW	34	33	1.23	1.30	LOW	MOD
CHES	BATTLEFIELD BLVD	VOLVO PKWY	I-64					"61,053"	6/18 - 6/19	V							"61,086"	6/7 - 6/9	V				37	29	1.16	1.08	LOW	LOW	37	25	1.16	1.23	LOW	LOW
CHES	BATTLEFIELD BLVD	I-64	MILITARY HWY														"35,904"	6/8 - 6/9	V				42	40	1.08	1.08	LOW	LOW	42	39	1.10	1.18	LOW	LOW
CHES	BATTLEFIELD BLVD	MILITARY HWY	CAMPOSTELLA RD					"22,710"	6/3	V							"22,504"	6/8 - 6/9	V				34	35	1.09	1.09	LOW	LOW	30	34	1.24	1.13	LOW	LOW
CHES	BENEFIT RD	JOHNSTOWN RD	SIGN PINE RD					"2,031"	7/8 - 12/3	V							"2,541"	5/17 - 5/19	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BLACKWATER RD	VIRGINIA BEACH CL	FENTRESS AIRFIELD RD					"2,902"	5/14 - 5/15	V							"2,338"	5/17 - 6/30	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	BRIDGE RD	SUFFOLK CL	CHURCHLAND BLVD		"24,942"	Wkdy average	V	"23,098"	Wkdy average	V	"23,146"	Wkdy average	V	"23,324"	Wkdy average	V	"23,548"	Wkdy average	V	"23,873"	Wkdy average	V	34	33	1.14	1.16	LOW	LOW	33	32	1.17	1.18	LOW	LOW
CHES	BRUCE RD	TAYLOR RD	TYRE NECK RD					"12,671"	7/16 - 7/17	V							"11,965"	6/22 - 6/23	V				-	-	-	-	LOW		-	-	-	-	MOD	
CHES	BUTTS STATION RD	KEMPSVILLE RD	ELBOW RD					"11,942"	8/12 - 8/13	V							"14,235"	6/14 - 6/16	V				41	38	1.11	1.17	LOW	LOW	40	39	1.12	1.14	LOW	LOW
CHES	BUTTS STATION RD	ELBOW RD	CENTERVILLE TNPK					"11,942"	8/12 - 8/13	V							"14,235"	6/14 - 6/16	V				43	44	1.09	1.01	LOW	LOW	43	41	1.09	1.08	LOW	LOW
CHES	CAMPOSTELLA RD	GREAT BRIDGE BLVD	MILITARY HWY					"8,300"	7/16 - 7/17	V							"5,824"	9/7 - 9/8	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	CAMPOSTELLA RD	MILITARY HWY	BATTLEFIELD BLVD					"16,219"	7/16 - 7/17	V							"15,641"	6/22 - 6/23	V				-	-	-	-	MOD		-	-	-	-	SEV	
CHES	CAMPOSTELLA RD	BATTLEFIELD BLVD	PROVIDENCE RD					"13,809"	7/16 - 7/17	V							"12,997"	6/22 - 6/23	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	CAMPOSTELLA RD	PROVIDENCE RD	ATLANTIC AVE					"13,763"	7/16 - 7/17	V							"12,508"	6/22 - 6/23	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	CAMPOSTELLA RD	ATLANTIC AVE	NORFOLK CL/BERKELY AVE EXT					"17,672"	6/3 - 7/29	V							"16,577"	6/8 - 6/9	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CANAL DR	MILITARY HWY	GEORGE WASHINGTON HWY					"14,647"	8/13 - 8/14	V							"14,259"	4/26 - 4/28	V				30	28	1.25	1.19	MOD	LOW	28	29	1.31	1.18	MOD	LOW
CHES	CAVALIER BLVD	MILITARY HWY	PORTSMOUTH CL					"9,756"	7/9 - 7/10	V							"13,162"	9/7 - 9/28	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CEDAR RD	SHIPYARD RD/MOSES GRANDY TR	SCENIC PKWY					"6,001"	5/13 - 5/14	V							"6,791"	7/26 - 7/27	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CEDAR RD	SCENIC PKWY	MOSES GRANDY TRAIL					"4,565"	5/13 - 5/14	V													-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CEDAR RD	DOMINION BLVD	BELLS MILL RD (WEST)					"26,081"	5/14 - 5/15	V							"26,598"	4/20 - 4/21	V				36	35	1.16	1.16	LOW	LOW	35	35	1.21	1.15	LOW	LOW
CHES	CEDAR RD	BELLS MILL RD (WEST)	BELLS MILL RD (EAST)					"30,693"	5/14 - 5/15	V							"29,193"	4/20 - 4/21	V				36	35	1.16	1.16	LOW	LOW	35	35	1.21	1.15	LOW	LOW
CHES	CEDAR RD	BELLS MILL RD (EAST)	BRIARFIELD DR					"26,723"	6/11 - 6/12	V							"24,905"	4/20 - 4/21	V				36	35	1.16	1.16	LOW	LOW	35	35	1.21	1.15	LOW	LOW
CHES	CEDAR RD	BRIARFIELD DR	BATTLEFIELD BLVD					"26,723"	6/11 - 6/12	V							"24,905"	4/20 - 4/21	V				36	35	1.16	1.16	LOW	LOW	35	35	1.21	1.15	LOW	LOW
CHES	CENTERVILLE TNPK	BATTLEFIELD BLVD	ETHRIDGE MANOR BLVD					"6,773"	5/28 - 5/29	V							"6,758"	5/17 - 5/19	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CENTERVILLE TNPK	ETHRIDGE MANOR BLVD	MT PLEASANT RD					"9,709"	5/28 - 5/29	V													-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CENTERVILLE TNPK	MT PLEASANT RD	BUTTS STATION RD					"16,610"	5/28 - 5/29	V							"17,443"	5/17 - 5/19	V				-	-	-	-	SEV		-	-	-	-	SEV	
CHES	CENTERVILLE TNPK	BUTTS STATION RD	ELBOW RD					"9,516"	10/28 - 10/30	V							"10,530"	5/17 - 5/19	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	CENTERVILLE TNPK	ELBOW RD	S.E. PARKWAY CORRIDOR					"7,536"	10/28 - 10/30	V							"8,114"	5/17 - 5/19	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CENTERVILLE TNPK	S.E. PARKWAY CORRIDOR	VA BEACH CL					"7,536"	10/28 - 10/30	V							"8,114"	5/17 - 5/19	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	CHESAPEAKE EXPWY	GALLBUSH RD	BATTLEFIELD BLVD (NEAR INDIAN CREEK)	NB	"5,251"	Wkdy average	T	"5,020"	Wkdy average	T	"5,107"	Wkdy average	T	"5,333"	Wkdy average	T	"3,910"	Wkdy average	T				59	-	0.99	-	LOW	-	58	-	1.02	-	LOW	-
				SB	"5,250"	Wkdy average	T	"5,019"	Wkdy average	T	"5,107"	Wkdy average	T	"5,332"	Wkdy average	T	"3,910"	Wkdy average	T				-	54	-	1.11	-	LOW	-	56	-	1.07	-	LOW
CHES	CHESAPEAKE EXPWY	BATTLEFIELD BLVD (NEAR INDIAN CREEK)	HILLCREST PKWY	NB													"4,472"	9/13 - 9/14	V				62	-	1.04	-	LOW	-	61	-	1.05	-	LOW	-
				SB													"4,048"	9/13 - 9/14	V				-	61	-	1.03	-	LOW	-	61	-	1.02	-	LOW
CHES	CHESAPEAKE EXPWY	HILLCREST PKWY	BATTLEFIELD BLVD (S OF GREAT BRIDGE)	NB													"15,865"	9/13 - 9/14	V				61	-	1.04	-	LOW	-	60	-	1.05	-	LOW	-
				SB													"14,660"	9/13 - 9/14	V				-	61	-	1.03	-	LOW	-	61	-	1.02	-	LOW
CHES	CHESAPEAKE EXPWY	BATTLEFIELD BLVD (S OF GREAT BRIDGE)	HANBURY RD	NB				"13,666"	6/3 - 6/4	V							"15,474"	6/7 - 6/8	V				61	-	1.04	-	LOW	-	60	-	1.05	-	LOW	-
				SB				"12,409"	6/3 - 6/4	V							"16,353"	6/7 - 6/8	V				-	61	-	1.03	-	LOW	-	61	-	1.02	-	LOW
CHES	CHESAPEAKE EXPWY	HANBURY RD	MT PLEASANT RD	NB				"21,971"	6/3	V							"21,728"	6/8 - 6/9	V				58	-	1.09	-	LOW	-	61	-	1.03	-	LOW	-
				SB				"20,172"	6/3	V							"22,619"	6/8 - 6/9	V				-	61	-	1.04	-	LOW	-	63	-	1.02	-	LOW
CHES	CHESAPEAKE EXPWY	MT PLEASANT RD	BATTLEFIELD BLVD (N OF GREAT BRIDGE)	NB				"32,791"	6/3	V							"32,504"	9/13 - 9/14	V				57	-	1.09	-	LOW	-	60	-	1.03	-	LOW	-
				SB				"30,559"	6/3	V							"31,052"	9/13 - 9/14	V				-	60	-	1.02	-	LOW	-	57	-	1.07	-	LOW
CHES	CHESAPEAKE EXPWY	BATTLEFIELD BLVD (N OF GREAT BRIDGE)	DOMINION BLVD	NB				"30,592"	6/3	V							"33,866"	6/8	V				48	-	1.29	-	MOD	-	50	-	1.24	-	MOD	-
				SB				"32,269"	6/3	V							"33,178"	6/8	V				-	52	-	1.21	-	MOD	-	49	-	1.28	-	MOD
CHES	CHESAPEAKE EXPWY	DOMINION BLVD	I-64	NB							"28,581"	7/14 - 7/16	V										48	-	1.29	-	MOD	-	50	-	1.24	-	MOD	-
				SB							"37,417"	7/14 - 7/16	V										-	52	-	1.21	-	MOD	-	49	-	1.28	-	MOD
CHES	CHURCHLAND BLVD	WESTERN BRANCH BLVD	TOWNE POINT RD					"6,741"	7/15 - 7/17	V							"6,909"	7/19 - 7/20	V				-	-	-	-	LOW		-	-	-	-	MOD	
CHES	CHURCHLAND BLVD	TOWNE POINT RD	PORTSMOUTH CL					"13,649"	9/3 - 9/4	V							"12,398"	7/26 - 7/27	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	DOCK LANDING RD	JOLLIFF RD	I-664					"5,455"	7/22	V							"6,069"	6/15 - 6/16	V				42	40	1.06	1.02	LOW	LOW	40	41	1.11	1.00	LOW	LOW
CHES	DOCK LANDING RD	I-664	EAGLE HILL DR					"5,704"	7/22	V							"6,847"	6/15 - 6/16	V				36	35	1.08	1.12	LOW	LOW	36	36	1.07	1.11	LOW	LOW
CHES	DOCK LANDING RD	EAGLE HILL DR	PORTSMOUTH BLVD					"5,666"	7/22	V							"7,053"	6/15 - 6/16	V				36	35	1.08	1.12	LOW	LOW	36	36	1.07	1.11	LOW	LOW
CHES	DOMINION BLVD	GEORGE WASHINGTON HWY	CEDAR RD					"10,090"	5/20 - 9/4	V							"11,717"	4/19 - 4/20	V				37	41	1.06	0.99	LOW	LOW	40	37	0.97	1.10	LOW	LOW
CHES	DOMINION BLVD/STEEL BRIDGE	CEDAR RD	BAINBRIDGE BLVD		"31,346"	Wkdy average	V	"30,072"	Wkdy average	V	"30,480"	Wkdy average	V	"30,988"	Wkdy average	V	"30,671"	Wkdy average	V	"30,444"	Wkdy average	V	36	30	1.15	1.27	LOW	MOD	39	27	1.07	1.41	LOW	SEV
CHES	DOMINION BLVD	BAINBRIDGE BLVD	GREAT BRIDGE BLVD					"26,409"	5/20 - 5/22	V							"27,977"	4/19 - 4/20	V				36	30	1.15	1.27	LOW	MOD	39	27	1.07	1.41	LOW	SEV
CHES	EDINBURGH PKWY/ST BRIDES RD	SIGN PINE RD	HILLCREST PKWY																	"5,481"	10/17	C	-	-	-	-	MOD		-	-	-	-	MOD	
CHES	ELBOW RD	BUTTS STATION RD	CENTERVILLE TNPK														"4,885"	6/22 - 6/23	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	ELBOW RD	CENTERVILLE TNPK	VA BEACH CL		"6,887"	3/22	C	"7,453"	4/30	C							"8,903"	6/22 - 6/23	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	ETHERIDGE MANOR RD	HILLWELL RD	RIVER GATE RD					"13,856"	7/16 - 7/17	V							"14,019"	7/26 - 7/27	V				-	-	-	-	MOD		-	-	-	-	MOD	
CHES	ETHERIDGE MANOR RD	RIVER GATE RD	CENTERVILLE TPKE					"13,856"	7/16 - 7/17	V							"14,019"	7/26 - 7/27	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	FENTRESS AIRFIELD RD	BLACKWATER RD	MOUNT PLEASANT RD					"4,751"	5/14 - 6/12	V													-	-	-	-	LOW		-	-	-	-	LOW	
CHES	FREEMAN AVE	I-464	BAINBRIDGE BLVD					"8,679"	5/20 - 5/21	V							"9,738"	5/17 - 5/19	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	GEORGE WASHINGTON HWY	NORTH CAROLINA STATE LINE	DOMINION BLVD		"12,613"	Wkdy average	V	"11,685"	Wkdy average	V	"12,260"	Wkdy average	V	"12,524"	Wkdy average	V	"12,616"	Wkdy average	V	"12,540"	Wkdy average	V	61	59	1.04	1.04	LOW	LOW	61	60	1.05	1.02	LOW	LOW
CHES	GEORGE WASHINGTON HWY	DOMINION BLVD	GW HWY RELOCATED					"4,363"	5/20 - 5/22	V							"4,349"	5/3 - 5/4	V				48	48	1.11	1.07	LOW	LOW	47	50	1.11	1.04	LOW	LOW
CHES	GEORGE WASHINGTON HWY	GW HWY RELOCATED	MOSES GRANDY TR @ HINTON AVE					"4,363"	5/20 - 5/22	V							"4,349"	5/3 - 5/4	V				48	48	1.11	1.07	LOW	LOW	47	50	1.11	1.04	LOW	LOW
CHES	GW HWY (DEEP CREEK BRIDGE)	MOSES GRANDY TR @ HINTON AVE	MILL CREEK PKWY																				30	27	1.33	1.23	MOD	LOW	33	22	1.16	1.54	LOW	SEV
CHES	GEORGE WASHINGTON HWY	MILL CREEK PKWY	WILLOWOOD DR					"24,626"	5/21 - 5/22	V							"24,533"	5/3 - 5/4	V				30	27	1.33	1.23	MOD	LOW	33	22	1.16	1.54	LOW	SEV
CHES	GEORGE WASHINGTON HWY	WILLOWOOD DR	I-64					"24,626"	5/21 - 5/22	V							"24,533"	5/3 - 5/4	V				30	27	1.33	1.23	MOD	LOW	33	22	1.16	1.54	LOW	SEV
CHES	GEORGE WASHINGTON HWY	I-64	MILITARY HWY					"20,928"	11/13	V							"26,220"	4/20 - 4/21	V				32	36	1.16	1.13	LOW	LOW	30	38	1.24	1.05	LOW	LOW
CHES	GEORGE WASHINGTON HWY	MILITARY HWY	CANAL DR					"14,292"	5/20 - 5/22	V							"15,056"	4/19 - 4/20	V				30	28	1.18	1.18	LOW	LOW	29	25	1.22	1.32	LOW	MOD
CHES	GEORGE WASHINGTON HWY	CANAL DR	PORTSMOUTH CL					"26,248"	5/21 - 5/22	V							"26,037"	4/20 - 4/21	V				31	31	1.14	1.15	LOW	LOW	29	30	1.18	1.21	LOW	LOW
CHES	GREAT BRIDGE BLVD	BAINBRIDGE BLVD	CAMPOSTELLA RD					"5,045"	5/28 - 5/29	V							"4,550"	7/27 - 7/28	V				28	30	1.31	1.15	MOD	LOW	30	30	1.22	1.14	LOW	LOW
CHES	GREAT BRIDGE BLVD	CAMPOSTELLA RD	I-64					"10,722"	5/28 - 5/29	V							"10,435"	5/11 - 5/12	V				28	30	1.31	1.15	MOD	LOW	30	30	1.22	1.14	LOW	LOW
CHES	GREAT BRIDGE BLVD	I-64	DOMINION BLVD					"12,915"	5/28 - 5/29	V							"13,098"	6/7 - 6/8	V				26	32	1.09	1.09	LOW	LOW	26	32	1.08	1.11	LOW	LOW
CHES	GREAT BRIDGE BLVD	DOMINION BLVD	RIVERWALK PKWY WEST					"12,127"	11/5 - 11/6	V							"13,734"	5/11 - 5/12	V				31	32	1.23	1.21	LOW	LOW	31	33	1.22	1.21	LOW	LOW
CHES	GREAT BRIDGE BLVD	RIVERWALK PKWY WEST	BATTLEFIELD BLVD					"12,127"	11/5 - 11/6	V							"13,734"	5/11 - 5/12	V				31	32	1.23	1.21	LOW	LOW	31	33	1.22	1.21	LOW	LOW
CHES	GREENBRIER PKWY	KEMPSVILLE RD	VOLVO PKWY					"27,789"	8/12 - 8/13	V							"27,798"	6/29 - 6/30	V				36	36	1.17	1.20	LOW	LOW	37	34	1.16	1.27	LOW	MOD
CHES	GREENBRIER PKWY	VOLVO PKWY	EDEN WAY					"43,745"	8/13 - 8/14	V							"42,332"	6/29 - 7/27	V				35	29	1.25	1.20	MOD	LOW	34	24	1.31	1.48	MOD	SEV
CHES	GREENBRIER PKWY	EDEN WAY	I-64					"79,293"	8/13 - 8/14	V							"77,796"	7/26	V				35	29	1.25	1.20	MOD	LOW	34	24	1.31	1.48	MOD	SEV
CHES	GREENBRIER PKWY	I-64	WOODLAKE DR					"56,745"	8/13 - 8/14	V							"57,072"	6/29 - 6/30	V				29	39	1.18	1.10	LOW	LOW	27	34	1.29	1.25	MOD	MOD
CHES	GREENBRIER PKWY	WOODLAKE DR	MILITARY HWY					"33,133"	8/13 - 8/14	V							"30,468"	6/28 - 6/30	V				29	39	1.18	1.10	LOW	LOW	27	34	1.29	1.25	MOD	MOD
CHES	HANBURY RD	JOHNSTOWN RD	BATTLEFIELD BLVD					"8,390"	7/8 - 7/9	V							"8,987"	6/28 - 6/30	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	HANBURY RD	BATTLEFIELD BLVD	CHESAPEAKE EXPRESSWAY														"14,380"	7/26 - 7/27	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	HANBURY RD	CHESAPEAKE EXPRESSWAY	HILLWELL RD														"14,380"	7/26 - 7/27	V				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	HILLCREST PKWY	EDINBURGH PKWY	CHESAPEAKE EXPRESSWAY																	"9,209"	10/17	C	-	-	-	-	LOW		-	-	-	-	LOW	
CHES	HILLCREST PKWY	CHESAPEAKE EXPRESSWAY	BATTLEFIELD BLVD														"17,685"	4/5 - 4/14	C				-	-	-	-	LOW		-	-	-	-	LOW	
CHES	I-64	CITY LINE RD/VA BEACH CL	GREENBRIER PKWY	EB	"68,875"	Wkdy average	V																62	-	0.99	-	LOW	-	61	-	1.00	-	LOW	-
				WB	"66,232"	Wkdy average	V	"63,269"	Wkdy average	V	"63,610"	Wkdy average	V	"63,757"	Wkdy average	V	"64,959"	Wkdy average	V	"65,444"	Wkdy average	V	-	57	-	1.08	-	LOW	-	61	-	1.01	-	LOW
CHES	I-64	GREENBRIER PKWY	BATTLEFIELD BLVD	EB							"62,857"	8/18 - 8/20	V										62	-	0.99	-	LOW	-	54	-	1.18	-	MOD	-
				WB																			-	63	-	1.00	-	LOW	-	64	-	0.99	-	LOW
CHES	I-64	BATTLEFIELD BLVD	I-464	EB				"51,960"	11/13 - 11/20	V													61	-	1.00	-	LOW	-	36	-	1.89	-	SEV	-
				WB				"51,022"															-	62	-	0.99	-	LOW	-	63	-	0.98	-	LOW
CHES	I-64	I-464	GEORGE WASHINGTON HWY	EB							"42,327"	8/25 - 8/27	V										61	-	0.98	-	LOW	-	51	-	1.23	-	MOD	-
				WB							"42,847"	8/25 - 8/27	V										-	58	-	1.05	-	LOW	-	58	-	1.05	-	LOW
CHES	I-64	GEORGE WASHINGTON HWY	MILITARY HWY	EB							"39,096"	8/25 - 8/27	V										63	-	0.97	-	LOW	-	59	-	1.05	-	LOW	-
				WB							"39,390"	8/25 - 8/27	V										-	37	-	1.73	-	SEV	-	49	-	1.28	-	MOD
CHES	I-64	MILITARY HWY	I-264&664	EB	"41,102"	Wkdy average	V	"39,005"	Wkdy average	V	"39,386"	Wkdy average	V	"39,623"	Wkdy average	V	"39,068"	Wkdy average	V	"38,714"	Wkdy average	V	62	-	0.98	-	LOW	-	57	-	1.09	-	LOW	-
				WB	"39,105"	Wkdy average	V	"37,253"	Wkdy average	V	"38,448"	Wkdy average	V	"37,593"	Wkdy average	V	"36,640"	Wkdy average	V	"36,746"	Wkdy average	V	-	50	-	1.26	-	MOD	-	54	-	1.16	-	MOD
CHES	I-264	I-64&664	WCL PORTSMOUTH	EB							"28,920"	7/7 - 7/9	V										61	-	0.99	-	LOW	-	61	-	1.00	-	LOW	-
				WB							"29,221"	7/7 - 7/9	V										-	61	-	0.99	-	LOW	-	60	-	1.00	-	LOW
CHES	I-464	I-64	MILITARY HWY	NB							"30,266"	7/14 - 7/16	V										56	-	1.06	-	LOW	-	57	-	1.03	-	LOW	-
				SB							"26,633"	7/14 - 7/16	V										-	58	-	1.06	-	LOW	-	60	-	1.03	-	LOW
CHES	I-464	MILITARY HWY	FREEMAN AVE	NB							"26,982"	7/14 - 7/16	V										63	-	1.01	-	LOW	-	62	-	1.02	-	LOW	-
				SB							"23,505"	7/14 - 7/16	V										-	59	-	1.02	-	LOW	-	62	-	0.98	-	LOW
CHES	I-464	FREEMAN AVE	POINDEXTER ST	NB	"27,827"	Wkdy average	V	"26,913"	Wkdy average	V	"26,264"	Wkdy average	V	"26,444"	Wkdy average	V	"26,904"	Wkdy average	V	"26,728"	Wkdy average	V	62	-	1.03	-	LOW	-	62	-	1.02	-	LOW	-
				SB	"24,311"	Wkdy average	V	"23,323"	Wkdy average	V	"22,422"	Wkdy average	V	"22,662"	Wkdy average	V	"23,107"	Wkdy average	V	"22,983"	Wkdy average	V	-	60	-	1.05	-	LOW	-	63	-	1.01	-	LOW
CHES	I-464	POINDEXTER ST	NORFOLK CL	NB							"27,535"	7/14 - 7/16	V										48	-	1.30	-	SEV	-	58	-	1.07	-	LOW	-
				SB							"22,665"	7/14 - 7/16	V										-	59	-	1.05	-	LOW	-	61	-	1.01	-	LOW
